time,hp,kps
2018-12-21 00:04:18,95.0,0.1570430091827846
2018-12-21 00:06:30,115.0,0.17374246079585617
2018-12-21 00:08:43,144.0,0.2001827530464251
2018-12-21 00:10:57,177.0,0.21378597597979157
2018-12-21 00:13:09,219.0,0.23497531295860224
2018-12-21 00:15:22,250.0,0.25001290694356465
2018-12-21 00:17:35,279.0,0.2669716260553938
2018-12-21 00:19:47,326.0,0.2928420873325537
2018-12-21 00:22:00,359.0,0.31304694139443834
2018-12-21 00:24:13,398.0,0.32784896433757393
2018-12-21 00:26:26,435.0,0.3426690724591175
2018-12-21 00:28:39,485.0,0.36693428093485225
2018-12-21 00:30:52,543.0,0.386368196301782
2018-12-21 00:33:06,602.0,0.3994535957508178
2018-12-21 00:35:18,656.0,0.42510657116455874
2018-12-21 00:37:31,720.0,0.4579158671317494
2018-12-21 00:39:43,786.0,0.48358955548486365
2018-12-21 00:41:55,843.0,0.5017548033151833
2018-12-21 00:44:09,910.0,0.5318299912851081
2018-12-21 00:46:21,980.0,0.5532093722533372
2018-12-21 00:48:34,1067.0,0.5877896245369388
2018-12-21 00:50:46,1141.0,0.6122257147625028
2018-12-21 00:52:58,1217.0,0.6289721262457563
2018-12-21 00:55:11,1319.0,0.662169789826195
2018-12-21 00:59:36,1498.0,0.6871185253012463
2018-12-21 01:01:49,1603.0,0.7091570927943592
2018-12-21 01:04:01,1702.0,0.7255617407779545
2018-12-21 01:06:14,1793.0,0.7607219553640064
2018-12-21 01:08:27,1899.0,0.790336280432877
2018-12-21 01:10:40,2002.0,0.7848680644383452
2018-12-21 01:12:52,2104.0,0.809549700698026
2018-12-21 01:15:05,2215.0,0.8163849706911908
2018-12-21 01:17:18,2341.0,0.8170736759253505
2018-12-21 01:19:30,2460.0,0.8423641749000601
2018-12-21 01:21:43,2554.0,0.8485159178939082
2018-12-21 01:23:55,2679.0,0.8526170798898072
2018-12-21 01:26:08,2794.0,0.8616582779262205
2018-12-21 01:28:20,2894.0,0.8560347148863895
2018-12-21 01:30:33,3022.0,0.8457818098966424
2018-12-21 01:32:46,3137.0,0.8296332140329855
2018-12-21 01:34:59,3246.0,0.8411392518548128
2018-12-21 01:37:12,3362.0,0.8384413915014499
2018-12-21 01:39:24,3464.0,0.8204418471861161
2018-12-21 01:41:37,3575.0,0.8274428206942667
2018-12-21 01:43:51,3672.0,0.815708940539334
2018-12-21 01:46:03,3782.0,0.8204936295345493
2018-12-21 01:48:16,3904.0,0.8191265755359164
2018-12-21 01:50:28,3992.0,0.8259255978851779
2018-12-21 01:52:41,4103.0,0.818562147937996
2018-12-21 01:54:53,4213.0,0.81582803994073
2018-12-21 01:57:06,4335.0,0.8320439528573499
2018-12-21 01:59:19,4442.0,0.832841401023219
2018-12-21 02:01:31,4567.0,0.8307183247374634
2018-12-21 02:03:44,4659.0,0.8466672880548479
2018-12-21 02:05:57,4766.0,0.8405155450609997
2018-12-21 02:08:10,4886.0,0.8494687131050768
2018-12-21 02:10:23,4998.0,0.8433169701112285
2018-12-21 02:12:35,5116.0,0.8494687131050768
2018-12-21 02:14:48,5228.0,0.8384494293585203
2018-12-21 02:17:01,5330.0,0.846651753350318
2018-12-21 02:19:13,5453.0,0.8398164833571532
2018-12-21 02:21:26,5566.0,0.8275129973694568
2018-12-21 02:23:39,5682.0,0.825338138735268
2018-12-21 02:25:51,5791.0,0.8158412560326436
2018-12-21 02:28:04,5895.0,0.819176039271733
2018-12-21 02:30:17,5992.0,0.8184925122724164
2018-12-21 02:32:30,6094.0,0.809653265394892
2018-12-21 02:34:42,6202.0,0.7999078274197889
2018-12-21 02:36:55,6307.0,0.797173719422523
2018-12-21 02:39:07,6423.0,0.819212286915636
2018-12-21 02:41:20,6524.0,0.8213954925552437
2018-12-21 02:43:33,6635.0,0.8342944755499204
2018-12-21 02:45:45,6733.0,0.8349780025492368
2018-12-21 02:47:58,6845.0,0.8232700135685206
2018-12-21 02:50:10,6986.0,0.8355734995562171
2018-12-21 02:52:24,7094.0,0.8233528653260135
2018-12-21 02:54:36,7209.0,0.8183662251719093
2018-12-21 02:56:49,7312.0,0.813581536176694
2018-12-21 02:59:01,7403.0,0.8115154204742148
2018-12-21 03:01:14,7526.0,0.8060472044796831
2018-12-21 03:03:27,7625.0,0.7718242504002698
2018-12-21 03:05:39,7718.0,0.7759690095590215
2018-12-21 03:07:52,7822.0,0.7705888235568259
2018-12-21 03:10:04,7917.0,0.7603359185670787
2018-12-21 03:12:17,8021.0,0.770117604186085
2018-12-21 03:14:30,8113.0,0.7494046648128585
2018-12-21 03:16:38,8222.0,0.7468643928303241
2018-12-21 03:18:51,8330.0,0.7539016139823779
2018-12-21 03:21:04,8418.0,0.7614204109748589
2018-12-21 03:23:17,8524.0,0.7609284786647447
2018-12-21 03:25:29,8616.0,0.7525138470443714
2018-12-21 03:27:43,8712.0,0.7497797390471054
2018-12-21 03:29:56,8816.0,0.7441353012480623
2018-12-21 03:32:09,8931.0,0.7400341392521635
2018-12-21 03:34:22,9026.0,0.7461858822460119
2018-12-21 03:36:34,9117.0,0.7352494502569482
2018-12-21 03:38:47,9205.0,0.7381906876479465
2018-12-21 03:41:00,9310.0,0.749616810621595
2018-12-21 03:43:13,9412.0,0.7542875784502576
2018-12-21 03:45:26,9509.0,0.7392499844652952
2018-12-21 03:47:39,9599.0,0.7351488224693964
2018-12-21 03:49:52,9696.0,0.7469810890863521
2018-12-21 03:52:05,9808.0,0.7722715880610616
2018-12-21 03:54:17,9918.0,0.7654363180678968
