id,file,percent,hp,time captured,time parsed,manual
flauros,Screenshot (103).png,99.99,271.0,1545379574,1545388659.0,
forneus,Screenshot (104).png,99.99,191.0,1545379577,1545388661.0,
barbatos,Screenshot (105).png,99.65,7072.0,1545379580,1545388662.0,
halphas,Screenshot (106).png,99.99,106.0,1545379584,1545388664.0,
amon_ra,Screenshot (107).png,100.0,62.0,1545379588,1545388666.0,
sabnock,Screenshot (108).png,99.99,115.0,1545379590,1545388668.0,
flauros,Screenshot (109).png,99.99,271.0,1545379594,1545388669.0,
forneus,Screenshot (110).png,99.99,191.0,1545379598,1545388671.0,
flauros,Screenshot (111).png,99.98,325.0,1545379707,1545388675.0,
forneus,Screenshot (112).png,99.99,225.0,1545379710,1545388680.0,
barbatos,Screenshot (113).png,99.59,8119.0,1545379713,1545388685.0,
halphas,Screenshot (114).png,99.99,123.0,1545379716,1545388691.0,
amon_ra,Screenshot (115).png,100.0,70.0,1545379720,1545388698.0,
sabnock,Screenshot (116).png,99.99,144.0,1545379723,1545388699.0,
flauros,Screenshot (117).png,99.98,325.0,1545379727,1545388701.0,
forneus,Screenshot (118).png,99.99,225.0,1545379731,1545388702.0,
flauros,Screenshot (119).png,99.98,385.0,1545379840,1545388703.0,
forneus,Screenshot (120).png,99.99,267.0,1545379843,1545388704.0,
barbatos,Screenshot (121).png,99.53,9480.0,1545379846,1545388706.0,
halphas,Screenshot (122).png,99.99,144.0,1545379849,1545388708.0,
amon_ra,Screenshot (123).png,100.0,89.0,1545379853,1545388709.0,
sabnock,Screenshot (124).png,99.99,177.0,1545379857,1545388714.0,
flauros,Screenshot (125).png,99.98,385.0,1545379860,1545388715.0,
forneus,Screenshot (126).png,99.99,267.0,1545379863,1545388717.0,
flauros,Screenshot (127).png,99.98,448.0,1545379973,1545388718.0,
forneus,Screenshot (128).png,99.98,312.0,1545379976,1545388719.0,
barbatos,Screenshot (129).png,99.45,10941.0,1545379979,1545388720.0,
halphas,Screenshot (130).png,99.99,168.0,1545379983,1545388721.0,
amon_ra,Screenshot (131).png,99.99,110.0,1545379986,1545388722.0,
sabnock,Screenshot (132).png,99.99,219.0,1545379989,1545388724.0,219
flauros,Screenshot (133).png,99.98,448.0,1545379992,1545388725.0,
forneus,Screenshot (134).png,99.98,312.0,1545379996,1545388726.0,
flauros,Screenshot (135).png,99.97,538.0,1545380105,1545388727.0,538
forneus,Screenshot (136).png,99.98,371.0,1545380108,1545388728.0,
barbatos,Screenshot (137).png,99.37,12525.0,1545380112,1545388730.0,
halphas,Screenshot (138).png,99.99,197.0,1545380115,1545388731.0,
amon_ra,Screenshot (139).png,99.99,142.0,1545380118,1545388732.0,142
sabnock,Screenshot (140).png,99.99,250.0,1545380122,1545388733.0,
flauros,Screenshot (141).png,99.97,538.0,1545380125,1545388734.0,
forneus,Screenshot (142).png,99.98,371.0,1545380129,1545388736.0,
flauros,Screenshot (143).png,99.97,614.0,1545380238,1545388737.0,
forneus,Screenshot (144).png,99.98,414.0,1545380241,1545388738.0,
barbatos,Screenshot (145).png,99.29,14251.0,1545380244,1545388739.0,
halphas,Screenshot (146).png,99.99,224.0,1545380248,1545388741.0,
amon_ra,Screenshot (147).png,99.99,167.0,1545380251,1545388742.0,
