time,hp,kps
2018-12-20 23:59:39,97.0,0.16577757503636528
2018-12-21 00:01:52,128.0,0.1949186905232384
2018-12-21 00:04:04,164.0,0.23250506724115397
2018-12-21 00:06:17,191.0,0.25456112433437167
2018-12-21 00:08:30,225.0,0.27880652043331466
2018-12-21 00:10:43,267.0,0.3070434350338656
2018-12-21 00:12:56,312.0,0.3337009880072081
2018-12-21 00:15:08,371.0,0.3589914869819176
2018-12-21 00:17:21,414.0,0.3786273535077363
2018-12-21 00:19:34,462.0,0.4121201764742434
2018-12-21 00:21:46,526.0,0.4415118374448518
2018-12-21 00:23:59,584.0,0.4640682284222954
2018-12-21 00:26:12,652.0,0.4882620236294449
2018-12-21 00:28:25,717.0,0.4989816417397639
2018-12-21 00:30:38,793.0,0.5283733027103722
2018-12-21 00:32:51,870.0,0.5659672876727782
2018-12-21 00:35:04,945.0,0.582040528626402
2018-12-21 00:37:18,1026.0,0.6151232353933193
2018-12-21 00:39:29,1100.0,0.6264946391092207
2018-12-21 00:41:42,1186.0,0.6483675030873477
2018-12-21 00:43:55,1289.0,0.6763508405046473
2018-12-21 00:46:08,1377.0,0.7042977739539732
2018-12-21 00:50:33,1589.0,0.7371070699211638
2018-12-21 00:52:45,1673.0,0.7627330721414672
2018-12-21 00:54:58,1770.0,0.8077571521193438
2018-12-21 00:59:23,2003.0,0.8330476510940534
2018-12-21 01:01:35,2120.0,0.8535534610735476
2018-12-21 01:03:48,2243.0,0.8822615950448395
2018-12-21 01:06:00,2360.0,0.8949751972321258
2018-12-21 01:08:13,2501.0,0.9355518454642765
2018-12-21 01:10:26,2624.0,0.9567152912688706
2018-12-21 01:12:38,2756.0,0.9835332131982848
2018-12-21 01:14:51,2886.0,1.0116354936929097
2018-12-21 01:17:04,3011.0,1.0205213446840238
2018-12-21 01:19:17,3155.0,1.0294745127281009
2018-12-21 01:21:29,3282.0,1.0084024975476804
2018-12-21 01:23:41,3437.0,1.0077189705483638
2018-12-21 01:25:54,3596.0,1.013228612421642
2018-12-21 01:28:07,3732.0,1.011861558423009
2018-12-21 01:30:19,3862.0,1.0241650444107058
2018-12-21 01:32:33,3973.0,1.0249107102281416
2018-12-21 01:34:46,4095.0,1.0235695474037252
2018-12-21 01:36:58,4235.0,1.0022611110235184
2018-12-21 01:39:11,4363.0,0.9885905710371891
2018-12-21 01:41:24,4506.0,0.9879174005075592
2018-12-21 01:43:36,4650.0,0.9810303481659614
2018-12-21 01:45:49,4776.0,1.009621160338863
2018-12-21 01:48:02,4901.0,1.0164564303320278
2018-12-21 01:50:15,5040.0,1.0239338014457624
2018-12-21 01:52:27,5174.0,1.0094451003541904
2018-12-21 01:54:39,5294.0,1.007394519356241
2018-12-21 01:56:52,5446.0,1.003914745541539
2018-12-21 01:59:05,5578.0,1.003914745541539
2018-12-21 02:01:18,5730.0,0.9976749725553545
2018-12-21 02:03:30,5836.0,0.9942573375587721
2018-12-21 02:05:43,5976.0,0.9826270221007054
2018-12-21 02:07:56,6116.0,0.9922585389092557
2018-12-21 02:10:09,6242.0,0.9668748317073668
2018-12-21 02:12:21,6357.0,0.960039561714202
2018-12-21 02:14:34,6491.0,0.9402172787340244
2018-12-21 02:16:47,6609.0,0.9491704467781016
2018-12-21 02:19:00,6744.0,0.9354999067917721
2018-12-21 02:21:12,6858.0,0.9177282048095439
2018-12-21 02:23:25,6980.0,0.9170446778102274
2018-12-21 02:25:38,7103.0,0.9280691397916271
2018-12-21 02:27:50,7222.0,0.9191211499823931
2018-12-21 02:30:03,7342.0,0.926619234035501
2018-12-21 02:32:16,7456.0,0.9122651670498552
2018-12-21 02:34:29,7581.0,0.9144089562749841
2018-12-21 02:36:42,7713.0,0.9171068166283469
2018-12-21 02:38:54,7833.0,0.9136891816317646
2018-12-21 02:41:06,7961.0,0.9137564986847274
2018-12-21 02:43:19,8075.0,0.9199082416785758
2018-12-21 02:45:32,8193.0,0.9266969075581507
2018-12-21 02:47:44,8318.0,0.9102922595745554
2018-12-21 02:49:57,8436.0,0.9055075705793402
2018-12-21 02:52:10,8556.0,0.8917334658961447
2018-12-21 02:54:23,8685.0,0.8965388678307332
2018-12-21 02:56:35,8808.0,0.8929969551979116
2018-12-21 02:58:48,8909.0,0.8923134281985952
2018-12-21 03:01:01,9034.0,0.8888699020277961
2018-12-21 03:03:13,9134.0,0.8786169970380491
2018-12-21 03:05:26,9270.0,0.874008529847345
2018-12-21 03:07:38,9378.0,0.8541862468671672
2018-12-21 03:09:51,9495.0,0.8576504859773394
2018-12-21 03:12:03,9615.0,0.8685869179664031
2018-12-21 03:14:16,9718.0,0.8562834319787066
2018-12-21 03:16:24,9827.0,0.868752621481389
2018-12-21 03:18:37,9927.0,0.8537150274964266
2018-12-21 03:20:50,10056.0,0.8579404671285648
2018-12-21 03:23:03,10173.0,0.8497381431367669
2018-12-21 03:25:16,10280.0,0.8429650119617219
2018-12-21 03:27:29,10399.0,0.8491167549555702
2018-12-21 03:29:42,10513.0,0.8530416951469578
2018-12-21 03:31:55,10628.0,0.8578263841421733
2018-12-21 03:34:08,10733.0,0.8448393711551602
2018-12-21 03:36:21,10844.0,0.8550870979100638
2018-12-21 03:38:34,10956.0,0.861238840903912
2018-12-21 03:40:47,11075.0,0.8632894219018613
2018-12-21 03:43:00,11182.0,0.8576813935665601
2018-12-21 03:45:13,11292.0,0.8535802315706614
2018-12-21 03:47:25,11423.0,0.8542637585699779
2018-12-21 03:49:38,11539.0,0.8570896836268534
2018-12-21 03:51:51,11661.0,0.8583583511634636
